SG,Wt_total,Total_pts,CTGL_1,CTGL_2,Essay,BB_exam_us,BB_exam_ims,student_key,Combined_Scores
06B,90.59775,361.7455,94.0,88.5,91.2455,88.0,,288,88.0
06A,92.06729,361.88583,96.99,91.7975,97.09833,76.0,,289,76.0
06B,93.19812,378.69625,95.0,94.0,89.69625,100.0,,290,100.0
06A,96.00695,384.989,96.898,96.495,95.596,96.0,,291,96.0
06B,91.02225,367.7445,94.0,89.0,88.7445,96.0,,292,96.0
06C,88.64676,354.49119,90.0,97.99667,90.49452,76.0,,293,76.0
06C,96.08712,385.29425,96.0,97.6,95.69425,96.0,,294,96.0
06B,91.77235,375.14471,94.0,94.0,87.14471,100.0,,295,100.0
06C,92.59048,380.48351,96.19267,97.09667,87.19417,100.0,,296,100.0
07A,94.71002,377.28159,93.09392,92.994,95.19367,96.0,,297,96.0
07A,93.07592,373.78642,95.196,93.99625,92.59417,92.0,,298,92.0
07B,85.5559,350.63095,94.892,92.9925,82.74645,80.0,,299,80.0
07A,95.07262,376.64117,98.0,92.99417,97.647,88.0,,300,88.0
20A,94.97494,386.57938,98.195,96.99,91.39438,,100.0,301,100.0
07A,96.16108,382.28325,93.09392,95.99333,97.196,96.0,,302,96.0
07A,95.86989,386.13046,96.99,94.99667,94.14379,100.0,,303,100.0
07D,91.45075,375.08638,98.598,97.09467,87.39371,92.0,,304,92.0
07D,93.78673,376.79067,90.399,94.197,92.19467,100.0,,305,100.0
07A,89.27019,351.93258,92.9925,92.99633,93.94375,72.0,,306,72.0
07C,93.60685,377.38845,96.4,92.9925,91.99595,96.0,,307,96.0
07D,95.19669,379.63358,96.29233,95.19367,96.14758,92.0,,308,92.0
07C,89.08746,354.04125,94.0,92.09475,91.9465,76.0,,309,76.0
07A,96.824,383.54567,94.0,94.99667,98.549,96.0,,310,96.0
07C,83.27889,321.09266,88.99333,87.19933,92.9,52.0,,311,52.0
07A,98.6485,390.99,96.99,94.0,100.0,100.0,,312,100.0
